Value,Disaggregation combinations using this value,Number of indicators
> 1 Gbps,1,1
1 Mbps (< 2 mbps),1,1
>10 Mbps - <30 Mbps,1,1
> 100 Mbps - 1 Gbps,1,1
2 Mbps,1,1
256 Kbps,1,1
>2Mbps,1,1
>30 Mbps - <100 Mbps,1,1
512 Kbps,1,1
Domestic (Septic tank),1,1
Domestic (Sewer),1,1
Domestic,1,1
Internet speed: 2 Mbit/s to less than 10 Mbit/s,1,1
Mode of Transport: Air,2,1
Mode of Transport: Rail,2,1
Mode of Transport: Road,2,1
Private Sector,1,1
Public Sector,1,1
Skill: Mathematics,11,1
Skill: Reading,9,1
Water,2,1
